league,matchId,playerId,teamId,eventSec,matchPeriod,subEventName,positions,tags,x,y,is_goal
France,2500689,26124,3804,890.088749,2H,Shot,"[{'y': 40, 'x': 97}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 201}, {'id': 1216}, {'id': 1802}]",97,40,0
France,2500689,256084,3804,1000.9357220000002,2H,Shot,"[{'y': 44, 'x': 73}, {'y': 100, 'x': 100}]","[{'id': 401}, {'id': 2101}, {'id': 1802}]",73,44,0
France,2500689,366401,3771,1450.7123659999997,2H,Shot,"[{'y': 36, 'x': 92}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 2101}, {'id': 1802}]",92,36,0
France,2500689,28123,3771,1612.0492800000002,2H,Shot,"[{'y': 47, 'x': 78}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1207}, {'id': 1801}]",78,47,1
France,2500689,25770,3771,2057.0373010000003,2H,Shot,"[{'y': 43, 'x': 76}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 2101}, {'id': 1802}]",76,43,0
France,2500689,25770,3771,2098.344631,2H,Shot,"[{'y': 56, 'x': 91}, {'y': 0, 'x': 0}]","[{'id': 403}, {'id': 201}, {'id': 1211}, {'id': 1802}]",91,56,0
France,2500689,25835,3804,2383.7496499999997,2H,Shot,"[{'y': 19, 'x': 71}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 201}, {'id': 1216}, {'id': 1802}]",71,19,0
France,2500689,134494,3771,2633.7995760000003,2H,Shot,"[{'y': 50, 'x': 94}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1221}, {'id': 1802}]",94,50,0
France,2500689,25598,3771,2637.0567789999996,2H,Shot,"[{'y': 52, 'x': 91}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",91,52,0
France,2500689,7915,3771,2645.296732,2H,Shot,"[{'y': 40, 'x': 75}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1216}, {'id': 1802}]",75,40,0
France,2500690,25474,3785,153.24607600000002,1H,Shot,"[{'y': 42, 'x': 87}, {'y': 100, 'x': 100}]","[{'id': 401}, {'id': 201}, {'id': 1214}, {'id': 1802}]",87,42,0
France,2500690,25716,3777,822.5978540000001,1H,Shot,"[{'y': 45, 'x': 97}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1203}, {'id': 1801}]",97,45,1
France,2500690,25411,3785,1056.193614,1H,Shot,"[{'y': 41, 'x': 87}, {'y': 100, 'x': 100}]","[{'id': 403}, {'id': 1214}, {'id': 1802}]",87,41,0
France,2500690,26508,3777,1235.504679,1H,Shot,"[{'y': 64, 'x': 79}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",79,64,0
France,2500690,14990,3777,1267.893487,1H,Shot,"[{'y': 49, 'x': 69}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}]",69,49,0
France,2500690,26604,3785,1927.0745729999999,1H,Shot,"[{'y': 66, 'x': 86}, {'y': 100, 'x': 100}]","[{'id': 401}, {'id': 201}, {'id': 1203}, {'id': 1801}]",86,66,0
France,2500690,26508,3777,2066.779445,1H,Shot,"[{'y': 44, 'x': 89}, {'y': 0, 'x': 0}]","[{'id': 403}, {'id': 1215}, {'id': 1802}]",89,44,0
France,2500690,25716,3777,148.9542510000001,2H,Shot,"[{'y': 25, 'x': 69}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}]",69,25,0
France,2500690,14990,3777,200.18567399999984,2H,Shot,"[{'y': 65, 'x': 86}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",86,65,0
France,2500690,135901,3785,1185.9343799999997,2H,Shot,"[{'y': 28, 'x': 84}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 1401}, {'id': 1210}, {'id': 1802}]",84,28,0
France,2500690,340920,3785,1498.9308659999997,2H,Shot,"[{'y': 64, 'x': 92}, {'y': 100, 'x': 100}]","[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1204}, {'id': 1801}]",92,64,1
France,2500690,25939,3785,1735.8417339999996,2H,Shot,"[{'y': 76, 'x': 77}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}]",77,76,0
France,2500690,26604,3785,2123.430045,2H,Shot,"[{'y': 53, 'x': 88}, {'y': 100, 'x': 100}]","[{'id': 401}, {'id': 2101}, {'id': 201}, {'id': 1802}]",88,53,0
France,2500690,25939,3785,2326.607984,2H,Shot,"[{'y': 56, 'x': 90}, {'y': 100, 'x': 100}]","[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",90,56,1
France,2500691,353833,19830,241.432822,1H,Shot,"[{'y': 30, 'x': 91}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",91,30,0
France,2500691,288423,3780,339.735142,1H,Shot,"[{'y': 59, 'x': 92}, {'y': 100, 'x': 100}]","[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",92,59,1
France,2500691,3450,19830,576.442938,1H,Shot,"[{'y': 54, 'x': 91}, {'y': 0, 'x': 0}]","[{'id': 403}, {'id': 1215}, {'id': 1802}]",91,54,0
France,2500691,28922,19830,742.94602,1H,Shot,"[{'y': 51, 'x': 82}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",82,51,0
France,2500691,353833,19830,828.687717,1H,Shot,"[{'y': 69, 'x': 91}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}]",91,69,0
France,2500691,135913,19830,1044.239925,1H,Shot,"[{'y': 63, 'x': 74}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1210}, {'id': 1802}]",74,63,0
France,2500691,26196,19830,1468.420071,1H,Shot,"[{'y': 76, 'x': 89}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",89,76,0
France,2500691,263766,19830,1672.839247,1H,Shot,"[{'y': 48, 'x': 94}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1202}, {'id': 1801}]",94,48,1
